OverallQual,GrLivArea,GarageArea,YearBuilt,TotalBsmtSF
5,1314,294,1957,1314
6,1571,380,1993,799
5,796,0,1910,796
5,1768,240,1937,731
5,1691,308,1924,1026
5,894,552,1972,894
6,1560,400,2005,684
4,1154,240,1922,796
6,1422,576,1981,1422
8,1496,474,2007,1496
6,913,240,1966,814
5,1086,484,1966,1024
7,1601,478,1978,1271
7,1986,486,1965,768
7,1164,528,1969,1164
6,2267,390,2002,1010
6,2259,450,1953,1809
5,825,720,1955,825
6,1426,440,1977,690
6,1651,616,1986,1606
5,789,200,1926,768
5,2634,968,1969,1248
5,1576,225,1928,1042
6,1484,393,2005,783
7,1200,555,2003,1176
7,1250,528,2006,625
7,1902,567,1959,1902
3,1040,400,1949,0
7,1502,644,2009,1502
5,1228,271,1966,1228
5,1268,288,1949,832
5,864,0,1925,864
6,1686,612,1980,1686
4,1620,490,1976,1281
5,858,576,1982,858
7,1301,572,2006,1293
6,1505,505,1953,1505
4,864,280,1970,864
5,1224,528,1979,1086
5,1383,354,1954,1383
5,816,264,1982,816
7,1344,784,1997,1344
7,1392,540,2007,689
5,1065,461,1960,1065
5,1250,552,1910,661
4,1452,0,1920,736
6,1096,0,1924,572
7,1428,480,2007,1428
6,1658,431,1995,773
5,864,720,1950,864
5,1928,0,1916,686
6,1537,462,1962,1319
7,1863,660,2006,879
10,2007,812,2008,1017
9,1792,874,2003,1792
5,968,480,1923,968
6,2654,619,1968,1054
4,960,364,1965,648
10,2775,880,1893,1237
9,2643,694,2006,2153
8,1646,482,2004,1594
6,1298,403,1985,1298
8,1694,776,2008,1694
6,958,301,1960,958
5,999,300,1962,925
5,1020,0,1875,780
7,1674,663,2000,814
8,2113,839,1995,2109
6,2030,551,1976,848
6,1217,288,1980,626
8,2169,647,2002,1284
7,1850,467,1994,973
5,1144,336,1963,1144
7,1504,437,2005,1346
6,1309,484,1974,1040
6,1258,280,1939,560
5,1422,286,1960,978
6,1442,301,1958,1442
5,1200,240,1946,768
6,1664,460,2000,953
5,1360,572,1955,384
8,1414,403,2004,707
6,1342,457,1967,1372
5,1118,410,1939,793
6,2345,360,1932,952
6,1844,546,1977,1844
6,987,264,1971,483
6,1610,480,1977,1610
6,1080,484,1983,1084
4,1622,1356,1961,1249
6,1511,413,1997,802
5,1152,484,1964,1152
5,1558,282,1950,910
8,1911,471,1993,777
5,1306,756,1957,992
5,2138,360,1898,849
8,2466,610,2004,1580
6,1734,440,1962,912
6,1158,208,1929,862
5,1771,336,1960,0
6,958,440,1976,1078
9,1828,774,2007,1822
5,1716,281,1949,768
9,2713,858,2008,1452
6,1367,560,1931,884
7,1826,164,1915,910
6,1200,521,1995,1200
5,1382,660,1941,720
6,1456,400,2005,728
8,2448,711,1994,1629
5,1964,0,1911,940
6,1092,504,1964,1092
5,1113,264,1950,1113
4,864,0,1971,864
7,1804,442,1999,994
5,1632,576,1967,1632
6,2614,624,1974,1522
7,1314,626,2007,1314
7,1923,564,1992,750
7,1484,606,2004,1473
4,708,0,1940,420
8,1713,856,2004,1713
5,1269,308,1960,1269
8,2097,1134,2005,2077
5,864,288,1972,864
9,2184,836,2008,1104
8,1624,757,1994,1624
5,1040,384,1965,1040
7,2035,434,2001,884
8,1494,481,1995,1494
7,1314,626,2007,1314
6,1743,539,1968,702
7,2127,833,1991,1104
5,1716,0,1912,780
7,1358,484,2009,1358
7,1430,400,2000,384
7,1221,400,2004,1221
7,2094,615,2003,912
5,864,360,1965,864
5,1053,750,1958,1008
5,1701,611,1975,1390
5,1056,308,1958,1056
3,1163,220,1955,1162
7,1665,562,2007,813
6,1196,528,1920,684
9,3140,820,2008,1926
7,1682,530,1970,1304
5,1072,525,2005,547
7,1547,614,2009,756
9,1905,788,2006,1905
7,1661,550,1996,799
6,1350,520,1964,1248
6,1845,462,1992,1055
5,1601,300,1958,533
6,1498,409,1995,691
7,1947,678,2004,991
5,1098,260,1955,1098
6,1054,460,1969,1054
5,928,288,1957,928
7,1820,240,1925,1026
7,3082,672,1920,824
4,1788,304,1957,1104
5,1022,280,1910,1022
7,1274,508,2005,1274
9,2504,656,2005,1122
9,2153,736,2000,1440
8,2031,577,2002,1128
6,1824,520,1919,764
5,1008,275,1954,1008
5,694,352,1913,440
6,1728,574,1976,1728
7,1588,472,1999,1588
5,1392,528,1957,1392
10,4476,813,1996,2396
7,1969,534,1977,808
7,1504,457,2005,1346
5,1276,350,1958,1276
9,1800,702,2007,1800
6,816,0,1990,816
5,1040,625,1950,0
5,924,280,1975,924
6,832,528,1954,832
7,1886,431,1998,930
7,2196,701,1990,2158
5,1039,504,1965,1039
5,1271,312,1948,720
5,1367,384,1900,861
7,2093,542,1986,791
5,864,338,1972,864
6,2447,336,1919,804
6,1054,480,1963,936
5,1120,0,2007,1120
7,1616,834,2005,1616
5,1073,515,1965,1073
5,1389,418,1974,1389
4,861,539,1940,861
7,1135,576,1936,560
8,2828,1052,2006,1466
8,1616,608,1995,1595
5,1437,528,1976,1437
7,1630,451,2000,1630
8,1800,765,2002,1800
6,1855,512,1976,528
6,1675,502,1999,841
7,2084,618,2004,956
5,1111,200,1941,616
3,729,0,1935,270
6,1586,435,1979,1362
9,2234,1166,2008,2216
4,858,0,1971,858
5,833,0,1985,833
5,1283,506,1962,931
6,1644,418,1953,1416
6,1383,292,1960,1383
6,2073,500,1978,1542
5,1539,686,1904,650
7,1552,782,2005,1552
5,925,429,1965,925
7,1414,494,2004,1414
3,1526,0,1915,1013
5,1712,588,1959,1626
8,1717,908,2006,1709
5,1750,240,1880,636
6,1176,624,1937,698
8,1936,504,2000,1406
4,858,684,1971,858
8,1919,685,2006,1079
7,1762,576,1920,596
5,1728,576,1965,1728
7,1626,474,2003,764
7,1496,426,2006,654
6,790,160,1930,768
7,1935,550,1976,793
7,1964,483,1976,803
8,1666,228,1925,588
5,985,328,1977,985
7,1358,484,2004,1358
6,848,420,2004,848
8,1970,753,2006,1085
8,2046,834,2008,2046
7,1865,839,2000,992
6,2134,441,1916,844
7,2646,656,1993,1347
6,1236,923,1957,912
5,902,484,1983,864
5,912,352,1962,912
6,1656,528,1960,1080
6,1382,884,1962,1362
5,2020,630,1977,0
6,1052,440,1971,1010
8,2531,752,1995,1318
8,1852,660,1999,1004
8,1660,500,2006,1660
9,1709,506,1999,1698
6,912,288,1961,912
6,1764,470,1997,928
6,1395,497,1972,723
5,1040,308,1963,1040
10,2392,968,2003,2392
6,1103,440,1925,1103
8,2078,836,2007,1034
5,803,360,1941,720
6,1152,300,1950,1092
7,1173,528,1974,1053
4,1092,0,1930,0
5,1784,180,1914,747
7,1920,487,1968,570
7,1670,690,2006,1670
7,1223,480,2005,600
7,1801,484,1959,1501
5,1656,506,1973,1656
7,1717,642,1915,756
9,2599,779,1999,1393
5,1644,312,1942,728
8,2468,872,2004,1136
5,1362,480,1993,796
8,1484,472,2006,1476
5,1200,884,1965,864
6,1350,478,1974,1064
4,1152,0,1955,0
7,1680,583,1998,1650
5,1440,352,1900,540
5,1214,318,1967,1214
6,1479,475,1976,725
8,1801,800,2005,893
6,1494,213,1942,771
7,2329,514,1990,1475
8,1588,825,2006,1588
6,1194,539,1959,655
6,1494,576,1997,1479
8,3238,666,1995,2033
5,914,576,1996,870
7,1641,546,1925,728
5,1573,360,1930,1078
7,1472,588,1980,1372
6,1750,423,1940,983
8,1768,578,2007,866
6,1196,297,1956,1196
4,1126,520,1949,0
4,845,290,1957,0
5,1968,530,1969,784
5,1221,392,1924,784
6,1368,216,1910,684
6,987,280,1970,483
7,1442,719,1990,910
4,1220,396,1951,836
7,1500,570,2004,1500
8,2450,1069,1998,1284
7,2207,576,1970,1947
7,1208,632,2006,1187
5,1795,352,1954,1050
4,1440,0,1977,1440
6,1212,460,2009,1212
7,1111,288,1926,572
8,2715,831,1976,1142
7,1724,527,1998,880
6,1328,528,1963,1328
5,1052,288,1968,1052
8,2417,462,1991,1288
4,948,280,1954,948
7,2019,532,1910,728
4,869,0,1923,440
8,1554,627,2006,1554
6,2112,576,1969,952
5,1416,576,1918,816
6,1593,398,2004,839
6,1381,676,1972,1161
6,1632,338,1958,1240
5,954,240,1938,920
7,1922,672,2003,0
5,980,484,1977,980
7,1786,608,2001,920
8,1694,636,2004,1686
6,972,240,1948,972
5,1437,576,1956,1188
8,2263,905,2001,1055
7,1725,550,1979,539
5,1236,447,1957,1070
5,1040,286,1959,1040
8,1704,772,2007,1704
6,1523,478,1976,1193
8,1489,776,2006,1489
7,1569,660,2007,1386
7,1212,573,2001,1212
7,1573,544,2002,1573
6,1790,484,1972,732
5,1576,528,1923,1324
6,1728,673,2003,864
8,1600,890,2007,1566
9,1922,676,2005,1922
7,1692,650,2009,846
8,1656,826,2006,1656
4,1047,273,1885,641
9,2728,706,2005,1848
6,1425,576,1964,1425
6,952,192,1916,952
5,990,576,1995,990
6,988,540,1969,938
4,1056,384,1966,1056
9,1746,758,2006,1746
7,1718,427,1998,832
5,1464,480,1963,520
7,1660,493,2002,831
9,1752,576,2005,1752
5,2620,600,1977,1361
10,4676,884,2007,3138
5,784,0,1924,784
4,1120,544,1961,1040
4,1382,459,1963,1051
6,1386,440,1978,672
1,334,0,1946,0
7,1200,480,2004,600
7,1414,398,2004,1375
5,1584,792,1967,1584
8,1517,400,1929,792
6,1258,528,1971,1258
5,902,288,1967,876
6,1158,576,2004,1158
5,964,432,1921,876
6,2380,596,1965,1021
7,1232,632,2007,1232
5,864,352,1972,864
7,1982,575,1989,807
8,1924,592,1998,1086
7,2080,282,1926,1276
6,1647,460,1999,953
6,1617,533,1993,1604
5,1340,252,1957,0
9,1940,606,2009,1930
6,1855,325,1954,994
5,884,504,1983,840
7,1626,474,2003,764
5,1284,240,1947,720
8,2290,779,2002,1128
5,816,516,1963,816
7,2183,786,1988,1204
5,1869,456,1890,1088
7,1646,240,1941,918
8,1844,620,2005,1844
8,1571,722,2007,1571
7,2082,484,2003,1362
7,1959,766,1988,1907
8,2374,656,2003,1181
6,2142,509,1968,896
7,1200,480,2005,600
8,1992,648,2003,1053
8,2285,648,2000,969
7,1824,739,1971,1643
9,1850,772,2004,1833
5,1355,0,1940,644
7,1668,500,2003,840
6,1406,0,1920,319
6,1888,578,1966,1517
8,1228,472,1988,1228
6,1638,472,1998,943
4,960,432,1965,960
9,1698,768,2007,1698
5,1063,280,1954,1056
5,1236,288,1961,912
5,1535,410,1979,0
4,630,0,1972,630
4,1092,286,1970,546
9,1652,840,2006,1652
5,1144,456,1961,1144
8,1795,895,2006,1795
7,1541,843,2001,1541
5,1507,404,1960,1075
8,1441,492,1999,776
7,1479,577,1999,1468
6,987,264,1971,483
4,672,234,1941,672
5,2192,240,1939,720
8,2000,888,2004,2000
5,1125,430,2006,1125
5,1124,0,1954,0
